ID,spat_x,spat_y,spat_z,mag
68,0.7983255596967107,0.06398049476151939,0.5988178329216697,4.52
71,0.8496655644064904,0.06925184655475863,0.5227548282039642,5.87
74,0.9846160082730001,0.08366847580069435,-0.1533978566008404,3.56
77,0.4229715842664984,0.037138502395734754,-0.9053815607482243,4.23
78,0.8543455978091562,0.07627336821296406,0.5140777886716805,5.9
79,0.8360706015555903,0.07593512209033089,0.5433413351178059,5.79
80,0.9858053505029788,0.08884074810528779,0.14246098552162223,5.37
82,0.7850023380803618,0.0725518604986672,0.615229678044344,5.18
83,0.3467507257918956,0.03132797425255585,-0.9374339935120898,5.51
84,0.8709211893067448,0.08201957594138028,-0.4845297423057964,5.18
85,0.9351119100087465,0.08910084870538987,-0.3429675706532226,5.12
87,0.21672918350189332,0.020369273422175475,-0.9760192383958706,5.97
91,0.6119418505937292,0.06501965929023598,0.7882256119904401,5.57
93,0.46931284296389725,0.050966426849911546,0.8815599121802766,5.4
96,0.5975568574766221,0.0657245886233831,0.7991283254477662,5.74
97,0.9932937140354038,0.11055272900171137,0.033848068896581256,5.77
98,0.21923521460724693,0.02473809047451777,-0.9753583687833867,2.8
99,0.734701252702736,0.08462884345072469,-0.6730913965675264,2.39
100,0.7184864605361132,0.0825069757457776,-0.6906300058494229,3.94
102,0.8958624359025669,0.10700353544667811,-0.43125484268658465,5.98
103,0.9445138504919006,0.11617391335024578,0.3072412864278714,5.06
104,0.7091273371115111,0.0877871216710621,0.699594054455759,5.17
105,0.8323830176084894,0.1019395742077338,-0.5447447431663119,4.81
109,0.7610992546173888,0.0949348242089417,-0.6416504529518174,5.43
113,0.49596870386133163,0.06602585195655607,0.8658265598048617,5.94
114,0.8606966585097235,0.11377774075747739,0.4962417633959487,5.23
117,0.9890583697888556,0.13038762390179723,-0.06901165614484842,5.72
118,0.9070189843577495,0.1209348919285706,-0.40335011333686444,5.19
120,0.6604704030271337,0.08822822927504477,-0.7456504719264688,5.69
122,0.8252780820833786,0.11388068507847024,0.553125010100645,5.87
123,0.5748184785174888,0.08020580983310678,0.8143406810566785,4.73
124,0.5982864148265752,0.08324971725989459,0.79694595200058,5.6
125,0.6524633791925164,0.09000485542846934,-0.7524564205400754,4.77
130,0.4503436572854582,0.06529672270621736,0.8904644453017678,4.16
131,0.92845468938218,0.1329309677557612,0.34684470238963805,5.38
132,0.9827394994251687,0.13984996567438118,0.12109939459156426,5.67
135,0.5690628287511937,0.08294966381305321,0.8180995356354819,5.93
136,0.44888981414108303,0.06454606388080754,-0.891252904846811,5.09
138,0.8604752164540564,0.1273900370788875,-0.493309416412645,5.55
140,0.603628000554243,0.09146077975231193,-0.7920026279716412,5.57
142,0.9862539306508127,0.15289315594001557,-0.06266472007855986,5.2
143,0.9879573803033604,0.1544744655663928,-0.008823502258094511,5.93
144,0.5781392723994893,0.09192601062395085,0.8107432332620201,5.08
146,0.4888130018286257,0.07841547851721684,0.8688572161018195,5.79
147,0.6610250706382491,0.10376495278864656,-0.7431545536161827,5.51
152,0.704224509921595,0.11398590888154596,0.7007674737044643,5.13
153,0.5815889031240593,0.09464396507854224,0.8079584566282881,3.66
154,0.8210187266260505,0.13327627443049378,0.5551267289576916,4.36
155,0.9524674390328676,0.15421630018229604,0.26272249682936333,5.89
157,0.8043317211714152,0.1322609916528103,0.5792732622902979,5.48
159,0.8959890365329668,0.14730596943282068,-0.41893268884414203,5.57
163,0.859660028087351,0.1459987121903945,0.48956001894313333,4.37
164,0.6418896643873392,0.11077264802082057,0.7587536353805262,5.43
165,0.8458077208041879,0.14658415268421782,0.512954564859184,3.27
166,0.9182911616298476,0.15929047322443327,0.36244708249955765,5.87
167,0.9167220445480934,0.16134040283612194,0.36549961347755416,5.36
168,0.5428044988910355,0.0969529478536593,0.8342442099805892,2.23
174,0.9814297507637497,0.17617449992403195,-0.07588273777560482,5.91
175,0.7596899087077504,0.1377851325562516,0.6355206525787072,5.33
176,0.5003318779567291,0.08921277948057439,-0.8612253432625187,5.89
177,0.39759382972803875,0.07379135168316427,0.9145895161103493,5.83
179,0.6252286012469371,0.11606269751056238,0.7717633357638662,4.8
180,0.6823446138713501,0.12439265418773753,-0.7203695548153655,4.59
183,0.5427701028053618,0.1000413406083673,-0.8339018801213591,5.7
184,0.6694582435078149,0.12851850891743596,0.7316479023854782,4.94
186,0.4874440302203157,0.09187590414772742,-0.8683070514740817,5.98
187,0.40809079612437327,0.07650727526674349,-0.9097299263791612,5.39
188,0.9339766662584509,0.17981329393985998,-0.3087956706420085,2.04
